cod_usuario|cod_rol|nombre|apellidos|dni|password|fecha_nacimiento|telefono|correo|direccion|grado_academico
1|1|Tiffanie|Coucher|55452207|$2a$04$9.fUnqjn.a5jnJCaSUIMv.8aIf0dOKM.uWx/bg4gQ9/1EaUd8.ldi|1998-11-24|980664079|tcoucher0@sciencedirect.com|02 Kropf Park|SECRETARIA
2|5|Barbee|Eby|9877032|$2a$04$ZPNNBVXUTPNA7FIUlFD1W./lk2lXfJnaxSmx6Xe1aB23e25MYrv5O|2003-10-18|962991515|beby1@opensource.org|593 Loeprich Place|SECRETARIA
3|5|Dorine|Bee|96184493|$2a$04$/SfZlAP68fTiwRVoEQQzpeYieSN6XAlGrtebFUeXbrdVThWCPNZ22|1992-03-19|901539709|dbee2@moonfruit.com|60 John Wall Center|SECRETARIA
4|4|Deonne|Stidston|23560152|$2a$04$poPzoIyEOzNpjXHfNwjqMOG4hdHtPo3f2M6VZBrWy1FbfWs./it1K|1984-08-22|912478939|dstidston3@ftc.gov|97 Bonner Trail|DIRECTOR
5|3|Innis|Reinhardt|54920243|$2a$04$F89Pt2R7M9wSz3UHBdetmeEBxykTaAwo.g/1Jr7MIDCTKu1xsuZn.|1993-07-11|907036742|ireinhardt4@dagondesign.com|655 Toban Avenue|PROFESOR
6|4|Jessie|Peal|57240601|$2a$04$K6UsLyyqjqm5IsIztADqy.LUXRcySjOPHeSnWPkq.klWfGOILxyiq|1986-10-08|929186434|jpeal5@cargocollective.com|2789 Jenifer Junction|SECRETARIA
7|5|Branden|Peirazzi|47531688|$2a$04$KOsNL40AM9C76dyy.OKE7OkDu3oYKt4HoWXZRYGR04ZZ9QXFmvNR.|1999-09-16|968426579|bpeirazzi6@artisteer.com|07 Washington Lane|PROFESOR
8|5|Jorge|Bagnold|79782496|$2a$04$Co32HK1syrgXuO3ZE1cB8uC5V.D9dSryLqIYO9GdDfpQ4trhvB92m|1999-03-25|929318911|jbagnold7@princeton.edu|284 Chinook Road|DIRECTOR
9|1|Renado|Hambrook|16031190|$2a$04$b52kDgy.o1rQ/9KhYdG4Juoqhd7TDryr/EPcdAAVfKPsot52OkRoO|2000-04-07|989633811|rhambrook8@pcworld.com|668 Loftsgordon Drive|SECRETARIA
10|5|Donetta|Hekkert|18716130|$2a$04$OFwACxR/ZEvqdnrjFTvnpeZO3ct5.mN/F.iHqnIXGG2wVsB6jOU0a|1995-02-10|944258662|dhekkert9@nifty.com|30 Namekagon Alley|DIRECTOR
11|1|Laina|Gerlts|1474901|$2a$04$nTWFej/wDJqMf7tpIQDEUONl3Dfo6EMWg.yjMWDnwHupF6CsaXTNC|1984-04-13|959774957|lgerltsa@exblog.jp|4 Eagan Court|BACHILLER
12|2|Maudie|Greser|20341422|$2a$04$uU1XMsPe2MsgHCkcBlxy0OGVwTErIwv23TkvLIFNV7GsyB/rNJ7bq|1992-08-19|989910326|mgreserb@wikipedia.org|02654 Maple Wood Terrace|DIRECTOR
13|5|Oliviero|Jouhan|32865059|$2a$04$NcrCejPqd2xvuFDoUBs5a.ZU33jJAP9G4AQFkaVlALaSWF9YuqRrS|1986-06-20|923625219|ojouhanc@technorati.com|630 Northland Court|DIRECTOR
14|1|Janelle|Ruggier|11573071|$2a$04$jEfHYCrYou2lk4jVn7G0l.kFN26DSUgta46sw7Vh5ikYGt8Kbal9O|2000-02-08|916616674|jruggierd@merriam-webster.com|8 Service Avenue|PROFESOR
15|5|Elsy|Nelle|28568603|$2a$04$1OR02KFlFPCN2rIWBStA1e5IThTgnsRQIN.NgJJJDsjEHbWjNCGIi|1988-05-06|944472842|enellee@wikia.com|42 Dennis Parkway|SECRETARIA
16|1|Clarence|Penhall|46812525|$2a$04$3ZHLl2ekTgWbAjDH71NXKOvNOIROA5letZUuO9I6bIwoUIV5j.N4G|1997-09-30|981774424|cpenhallf@tinypic.com|6527 Bartillon Place|DIRECTOR
17|1|Griffith|Volk|10060643|$2a$04$ljmPLKZZHB0yp2sld3N9yuhMee4cyt79cpVwYReVIEFZBixMdp3LG|1988-10-27|917719626|gvolkg@paginegialle.it|71 Schmedeman Crossing|BACHILLER
18|3|Kirstin|Pering|54861083|$2a$04$cRmmHiAH1dC7l/EKXi9GOOR9XM/i60bLCKPTnug9sfdWCFvbPMKZm|2003-12-21|919009528|kperingh@mysql.com|52 4th Center|DIRECTOR
19|2|Rutledge|Willatts|7672505|$2a$04$5S7C3RTNWG.e4GXAB23A6OiEagC3uBzS0tKgrIOkEIoJz8RALzXRm|1992-12-31|922957675|rwillattsi@indiatimes.com|1761 Ridgeway Drive|DIRECTOR
20|5|Rainer|Roper|40680280|$2a$04$Ii2JRk1/aIRh/hOOgDUv..3CIFtfBoOutKzOP2z8dChmvxQHisze6|2003-11-18|928765456|rroperj@goo.gl|31428 Fisk Place|BACHILLER
21|4|Silvia|Devin|21811036|$2a$04$Z4aZc5i62rz7nwj7h/0x8Owi62YKpyR94PKAR6QQSu0ViUVWLMth2|1989-05-11|998266406|sdevink@bbc.co.uk|705 Jay Hill|SECRETARIA
22|5|Ardys|Matheson|54865623|$2a$04$VL3gIYnwtGiClFFrHBJmEevFa/4GY8XR4ebtX9XPmb7OCfX2MZH46|1997-09-10|953119670|amathesonl@comcast.net|50137 Gulseth Pass|SECRETARIA
23|5|Corilla|Witherington|72713647|$2a$04$Fu.Z5JBFIDaztbgzKH8LWOYZYNHOj0C5djSuKpnfW.cgMVYwxDq6W|1989-01-19|976955152|cwitheringtonm@dailymail.co.uk|36 Morningstar Terrace|SECRETARIA
24|5|Tuesday|Weston|13278236|$2a$04$HCZ7kdyDFWlhkkoiXklRw.twbsdJhNRbYTsfCfcOB52MgNuGFYBsi|1999-04-07|943279813|twestonn@cbsnews.com|03347 Scott Hill|DIRECTOR
25|1|Christy|Spadollini|98495657|$2a$04$Vr/kwPwH96ZNqAgdsP6lbuWhVN1CG7cAInHQe2NWy/k2aEtyE7Xd.|1998-02-28|951290231|cspadollinio@cbslocal.com|8 Service Drive|BACHILLER
26|3|Woodie|Cracker|45301525|$2a$04$3L24nsh06ftkQLkNkski9exzlOSH7aGW3OMZMtssZhh6/1vxQsmAu|1987-05-01|970220041|wcrackerp@list-manage.com|04579 American Pass|SECRETARIA
27|2|Hill|Witchell|93467114|$2a$04$uqQw0jkNkSUT9p/.wZghkO1fAT1LE68EP/.YcOdRyFKw.xRqkGoWG|2000-10-21|916987939|hwitchellq@vinaora.com|70205 Huxley Plaza|SECRETARIA
28|2|Brittan|Ropkes|10457873|$2a$04$kJSbKqUdTN4OrtY7S8nq.O8nhKoGJ/nluGy7hJDnafjJakJC/Vdq2|1995-10-13|983520635|bropkesr@moonfruit.com|5 Heath Plaza|SECRETARIA
29|3|Ashby|Dornan|93604239|$2a$04$RC7k2O.CrjYn993O7ckfserKHElSpmlOYR7W/YOi4CTmxzq5ONbT.|1986-09-11|919014912|adornans@uol.com.br|162 Alpine Parkway|PROFESOR
30|2|Nobie|Laffin|13977387|$2a$04$yqKSbKC3GaUFSOJ1fP3UBucX4q8ynbvAG3tLS00ft6BAuzDvvIViu|2003-05-23|935543459|nlaffint@bbc.co.uk|5336 Crowley Terrace|BACHILLER
31|3|Englebert|Morecomb|14135868|$2a$04$B9UIz4WrvMdH5.n9NbxdQOfaBX3bLv6iQDRqCXgTbRBUvDoNjFTFi|1985-12-01|980722393|emorecombu@reuters.com|32012 School Junction|PROFESOR
32|2|Betta|Weavers|50605820|$2a$04$qt.mH2yXKphJv6x2oBIdy.OEMfV5y20UQ1g0YF4vfvLJKYot5jpNG|2000-05-14|976410192|bweaversv@sitemeter.com|7 Shopko Center|SECRETARIA
33|4|Trent|Reedy|88169388|$2a$04$e5IBlgnJnp6tdvKmjQiTeOs7wy3ACvcMC7vim3PnoDW.dbpjmENnm|2000-03-12|925900488|treedyw@nifty.com|204 Jackson Lane|BACHILLER
34|5|Hanan|Linkleter|65873888|$2a$04$MpH0MQfD89XTdrh65IUVCOfPmPBleS1y.fDfhxkjT8374Vn42ML2a|1993-02-02|951088923|hlinkleterx@arizona.edu|602 Macpherson Trail|DIRECTOR
35|1|Hervey|Chill|32272470|$2a$04$MQnkr/Y9m028OF/E0wy4vegJrq6D/uC0A3hyv0mrHGg3z0xmpNtYq|1984-09-12|984156405|hchilly@paypal.com|745 Morningstar Court|DIRECTOR
36|2|Orsola|Matherson|86820906|$2a$04$6DBD9Eb5i0YH0gocrxDbZOFsOFNXZCTCYun7limo5onOky3nti8rO|1994-01-31|908718895|omathersonz@boston.com|00891 Tony Place|DIRECTOR
37|5|Carie|Emes|19515334|$2a$04$eeuFxF/poIwVDgf3Bl4GVuYCBdy9ZfjP2cKxFOJVs4uGxTbE3L4Fi|1997-06-26|912801923|cemes10@ucoz.ru|7871 Cody Hill|BACHILLER
38|2|Roddy|Haresnape|80563772|$2a$04$pPGIFPPfJ/T52os0Zx5pm.TRrJLnzrN44YkoLktOi7z5vCfV3dmB.|1989-07-08|987557987|rharesnape11@sbwire.com|9907 Mesta Hill|BACHILLER
39|3|Beau|Slowley|24809021|$2a$04$SvhgLvcnReJoq/lqVKwtru./fwBOf.7z2rv4fnOTH985MOuFrFQJC|1985-04-13|998701140|bslowley12@xing.com|50 1st Terrace|BACHILLER
40|1|Susana|Cornew|33219779|$2a$04$iglkhA23KY6WY06HMZf37OK6URb1R.vDGxHrcojWtdBh8/1mO40am|1985-07-19|916528386|scornew13@mlb.com|09112 Birchwood Park|BACHILLER
41|5|Duff|Freezor|61208445|$2a$04$nUqKUXCGO1xy50yACAyxxeZ3ZgWNiOe92FBtBqEEnyi04mKFy4SZ.|1996-11-12|930813403|dfreezor14@taobao.com|4565 Meadow Valley Pass|SECRETARIA
42|5|Eugene|Hamner|2542606|$2a$04$TMlAMvNqaY4DOgQ76C2o9OrZ91cDzKmVdrlU4bnTHzSJNfWvggWbO|1995-05-11|946782750|ehamner15@sohu.com|2 Barnett Place|BACHILLER
43|1|Kingsley|Giabuzzi|48475782|$2a$04$FK6Lcwn4aHntzjZqp3xCqeXIqOrnLVGfsHCWhaceMXRfewFr1t0SK|1999-09-05|978065193|kgiabuzzi16@bigcartel.com|34729 Veith Park|SECRETARIA
44|3|Bernetta|Clappison|94786993|$2a$04$OSG/k8IHoRZzDl0g6lZFGekgtlcYHHcgvchbKpmiSUM4XydMjO0ie|1984-06-15|938042835|bclappison17@github.io|00 Buhler Road|DIRECTOR
45|4|Vivi|Monksfield|12119241|$2a$04$XwTh07168Dp9BWZSSTeNVuFaG8hcnu5H.SfMG3ZSNmONzu34uDrJy|2003-09-17|972847921|vmonksfield18@angelfire.com|1568 Arizona Court|BACHILLER
46|2|Gwenore|Pfaffel|19173460|$2a$04$AXKkM63IE0nAjefEnRwmRO/B32jL3Z2wmIWNx4JRqtZuP72jPzN9W|1992-04-25|926276836|gpfaffel19@macromedia.com|84 School Junction|DIRECTOR
47|5|Caralie|Maps|16316844|$2a$04$62EhgGh.Vsh3aOsAJW7nk.zx.KeySNUOEKs9qJZCSjj/c9gGETkxG|2000-10-17|923838050|cmaps1a@indiegogo.com|5 School Crossing|PROFESOR
48|1|Davine|Lipmann|48644466|$2a$04$9FY309C9m4QQG1ExXIa7fe.nCJpTKHOE3O2ifUpgwgmPQeykXKl4u|1999-12-04|902654038|dlipmann1b@eepurl.com|66 Granby Place|SECRETARIA
49|5|Agna|Broxup|28896193|$2a$04$8JVCM9DS0ner4d84lmM1GOfhVrhW9yLREI3/XFeVNFehidCiSmb6m|2003-04-22|951315868|abroxup1c@ca.gov|2 Almo Hill|PROFESOR
50|3|Latrina|Cowitz|17615820|$2a$04$0sXP54lDWCCP4D6DBTa7teQHVb7EKp7Y/mcNBrKL.oXGkQSpHsxmS|1989-02-07|943967078|lcowitz1d@sina.com.cn|01767 Messerschmidt Point|PROFESOR
51|4|Farleigh|Tire|14586942|$2a$04$bPh8Rs9ymELpK9fJMd2DNOuWH/e.qTScvrEEgARY6SrTAIWsDrO7C|1988-07-19|983534256|ftire1e@google.de|4474 Vera Court|SECRETARIA
52|3|Emilee|Warrick|72208097|$2a$04$YFLcDh2BW5AmLLJIo/EeIOV2ZCCMatJnnh8GbBZ6WTH.Kmw4ilhYK|2000-04-08|921428604|ewarrick1f@tiny.cc|0 Mayfield Plaza|PROFESOR
53|2|Corey|Cadlock|72053085|$2a$04$BwijpBGIYKX4FpNKpJ2xs.NMEbNGD69wp1Xd/O8deLi0f.WoYEjJ6|2001-04-25|977286708|ccadlock1g@latimes.com|13 Maywood Terrace|SECRETARIA
54|1|Jocelyn|Nuccii|90072356|$2a$04$FX4mgzi5lYM3NtvtmHmCZ.Dgffq5Qsd7SuNNeqdZmgi3i5gaYcJDu|1997-07-26|979522072|jnuccii1h@boston.com|93137 Express Parkway|DIRECTOR
55|4|Francisca|Tavner|7572119|$2a$04$GNFG1wgZNUn8g8kkVC.9FeZzk228pzxfroVgIiqHjRHfybtb6LDbm|1985-01-22|942388145|ftavner1i@amazon.co.jp|74 Thierer Place|BACHILLER
56|2|Irene|Lippiatt|81179674|$2a$04$v2Lnv218l8jCDH2PLj/Ry.g09qd9nbzqNztDo5YZL.RuKeToqUmhK|1994-09-04|964034161|ilippiatt1j@thetimes.co.uk|518 Montana Hill|PROFESOR
57|3|Avigdor|Egan|93754107|$2a$04$ufetcrWv6PV7FwCT8rzW3Omc98FzcRLcjttJJ79VFIshRts5z8cYK|2003-07-08|903089790|aegan1k@geocities.jp|74838 Di Loreto Place|BACHILLER
58|4|Keslie|Couronne|85868248|$2a$04$f5UBxJh2grJxK5P.xYdIaeamtdKDC2mRYftJoCVVhHIETWrGbvcEy|1986-04-03|944594907|kcouronne1l@myspace.com|5490 Melby Terrace|DIRECTOR
59|3|Randie|Geeraert|18987392|$2a$04$O81Bcn81ocH5jNxzGGC8.e.1tb97cPGVzdq41Z/SsqVAweGso0SgK|2003-08-05|996465106|rgeeraert1m@discuz.net|6744 Parkside Center|SECRETARIA
60|3|Malia|Adne|93201195|$2a$04$tfAQz7Pi9ePMrgQYu9LWf.UPwkQPwsthpv.A2.WM7Fdf8eOJtwA26|1985-02-07|996459700|madne1n@newyorker.com|0 Blue Bill Park Avenue|PROFESOR
61|1|Diana|Antoniou|3239882|$2a$04$lvRSvEoe5Bm3Na8SFfhosu8e6VXQQhnR8CZXfSj1IrreUXqJjrokm|1991-01-16|986040006|dantoniou1o@nhs.uk|39133 Elka Way|DIRECTOR
62|1|Grethel|Dooler|90913738|$2a$04$tjvCDC5eWyXEK9cV9uCiWeXiODRCRlpeg2I.pJR2gNbet0ld7iwiq|1998-02-03|902047877|gdooler1p@a8.net|963 Armistice Trail|BACHILLER
63|3|Brook|Symes|575436|$2a$04$k1YCTJqB1K5pdTVc3.rGVOlZmW5AA5TJ/ifH/B.Y4i038G0/mI1B6|1990-10-13|927653280|bsymes1q@techcrunch.com|2 Laurel Pass|DIRECTOR
64|3|Aeriell|Reeder|15918644|$2a$04$LlGSYkRpc8pPHdK77/K5QueIJnYEzD5CkZaertSfv6oZiUyy7HGJC|2001-12-13|976436911|areeder1r@eventbrite.com|05624 Eggendart Road|BACHILLER
65|1|Goraud|Gianiello|4180949|$2a$04$12I3JhLO6ImvS/5/uiKe5uhR3g80t/RSTD8icuZxNupr75MpxrDBC|1985-01-25|928488598|ggianiello1s@sun.com|26 Wayridge Drive|SECRETARIA
66|1|Enid|Cowley|45454180|$2a$04$Q98yqeYPRJe53bjU5qsFPuqblYQEcdk01v2kU/ykHUnln5CxLn/m2|1992-01-19|975132591|ecowley1t@naver.com|05087 Oakridge Road|BACHILLER
67|2|Jeno|Glide|8968475|$2a$04$E7vqYVYXBUCWZ5qpxCePF.O0o7ldUk4uEGkfgPji5aY96BiArPc4.|2001-11-26|992517494|jglide1u@t-online.de|173 Longview Junction|BACHILLER
68|2|Vincenz|Sprowell|94110575|$2a$04$9/cnAikesFK5F9lEdpFIBeNB0b0f8Y3o7ljsyGlslEOo/6sYtd3AK|1995-03-27|936971959|vsprowell1v@liveinternet.ru|62 Bowman Circle|PROFESOR
69|2|Virgina|Charer|82885593|$2a$04$H2h8F4bohDIV3xV3Dzzk4egBynDfFh.Zi74Ce8Vl1WwNV4q8AZ9pC|2002-08-18|989317641|vcharer1w@china.com.cn|8 Crescent Oaks Center|DIRECTOR
70|2|Gibb|Cromblehome|94772019|$2a$04$9UQYfM9ZNDBk2P1NsIVlYu0eoYmP5unyzAAM5OktizD/pIpshsw3y|1984-11-28|902393741|gcromblehome1x@stanford.edu|7 Lukken Place|PROFESOR
